,,,sensor_id,sensor_id,location_type,location_type,temperature_c,temperature_c,humidity_pct,humidity_pct,wind_speed_kmh,wind_speed_kmh,precipitation_mm,precipitation_mm,traffic_density_score,traffic_density_score,co2_ppm,co2_ppm,no2_ppb,no2_ppb,pm2.5,pm2.5,pm10,pm10,aqi_category,aqi_category
,,,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
sensor_id,location_type,timestamp,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2025-01-01,SNS-001,SNS-001,Roadside,Roadside,24.5,26.2,61.0,62.7,2.5,8.0,0.0,0.0,0.53,0.96,476.4,535.6,26.2,47.3,43.9,60.0,59.5,89.2,Unhealthy,Unhealthy for Sensitive
SNS-001,Roadside,2025-01-06,SNS-001,SNS-001,Roadside,Roadside,24.5,30.3,55.5,62.7,0.6,5.5,0.0,0.0,0.41,0.52,466.0,502.5,18.1,28.7,34.2,45.3,53.4,68.4,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-01-11,SNS-001,SNS-001,Roadside,Roadside,26.2,29.5,52.5,63.0,1.7,11.7,0.0,0.0,0.42,0.79,459.8,519.6,27.9,44.7,30.9,58.8,47.6,89.8,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-01-16,SNS-001,SNS-001,Roadside,Roadside,27.1,27.1,61.2,61.2,5.0,5.0,0.0,0.0,0.85,0.85,528.9,528.9,35.6,35.6,45.9,45.9,68.2,68.2,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-01-21,SNS-001,SNS-001,Roadside,Roadside,29.5,29.5,57.9,57.9,3.3,3.3,0.0,0.0,0.72,0.72,502.0,502.0,41.8,41.8,48.7,48.7,75.7,75.7,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-01-26,SNS-001,SNS-001,Roadside,Roadside,28.6,28.6,52.7,52.7,3.7,3.7,0.0,0.0,0.94,0.94,535.3,535.3,49.8,49.8,54.0,54.0,75.2,75.2,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-01-31,SNS-001,SNS-001,Roadside,Roadside,27.1,29.0,60.0,62.5,9.3,11.4,0.0,0.0,0.13,0.46,419.8,428.6,24.0,29.9,19.7,20.1,26.0,37.8,Moderate,Moderate
SNS-001,Roadside,2025-02-05,SNS-001,SNS-001,Roadside,Roadside,25.8,31.2,52.5,57.6,1.9,4.0,0.0,0.0,0.06,0.85,450.7,524.8,12.4,42.8,28.7,49.5,46.6,73.1,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-02-10,SNS-001,SNS-001,Roadside,Roadside,25.4,31.6,51.2,58.0,1.2,9.7,0.0,5.0,0.01,0.74,421.6,479.7,3.8,37.6,17.2,34.0,20.8,52.2,Moderate,Moderate
SNS-001,Roadside,2025-02-15,SNS-001,SNS-001,Roadside,Roadside,25.2,33.4,47.0,54.6,1.7,2.5,0.0,0.0,0.05,0.87,450.5,512.6,7.5,46.3,34.8,57.7,49.7,82.0,Moderate,Unhealthy
SNS-001,Roadside,2025-02-20,SNS-001,SNS-001,Roadside,Roadside,25.9,30.0,47.4,55.7,1.6,4.0,0.0,0.0,0.92,1.0,532.2,548.1,46.2,55.3,59.7,59.9,92.2,92.7,Unhealthy,Unhealthy
SNS-001,Roadside,2025-02-25,SNS-001,SNS-001,Roadside,Roadside,26.9,31.4,49.1,49.1,2.8,3.6,0.0,0.0,0.39,0.8,477.3,517.2,31.6,48.6,39.8,57.1,64.4,94.8,Unhealthy,Unhealthy for Sensitive
SNS-001,Roadside,2025-03-02,SNS-001,SNS-001,Roadside,Roadside,28.4,31.0,42.7,49.8,0.5,6.4,0.0,0.0,0.04,0.82,425.1,518.7,7.7,39.5,17.8,52.5,23.4,76.5,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-03-07,SNS-001,SNS-001,Roadside,Roadside,25.2,31.4,51.3,57.2,4.4,16.2,0.0,1.0,0.31,0.9,451.3,453.8,24.5,45.1,13.1,42.2,21.6,61.6,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-03-12,SNS-001,SNS-001,Roadside,Roadside,29.8,29.8,56.9,56.9,2.4,2.4,0.0,0.0,0.81,0.81,523.4,523.4,51.1,51.1,59.1,59.1,91.5,91.5,Unhealthy,Unhealthy
SNS-001,Roadside,2025-03-17,SNS-001,SNS-001,Roadside,Roadside,30.1,33.0,51.7,55.8,1.3,12.9,0.0,1.0,0.03,0.97,393.7,512.2,7.0,50.4,12.5,53.7,23.1,74.3,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-03-22,SNS-001,SNS-001,Roadside,Roadside,24.5,31.2,51.1,54.3,1.8,7.9,0.0,0.0,0.76,0.96,488.6,529.4,34.6,50.2,46.2,53.4,60.3,80.8,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-03-27,SNS-001,SNS-001,Roadside,Roadside,28.4,28.4,40.5,40.5,6.6,6.6,0.0,0.0,0.0,0.0,417.2,417.2,15.0,15.0,21.5,21.5,37.2,37.2,Moderate,Moderate
SNS-001,Roadside,2025-04-01,SNS-001,SNS-001,Roadside,Roadside,28.5,30.1,51.3,57.7,1.8,9.6,0.0,0.0,0.11,0.48,442.4,455.4,15.2,31.3,29.3,33.3,38.2,47.6,Moderate,Moderate
SNS-001,Roadside,2025-04-06,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2025-04-11,SNS-001,SNS-001,Roadside,Roadside,28.2,28.2,49.2,49.2,0.9,0.9,0.0,0.0,0.91,0.91,557.4,557.4,46.9,46.9,66.5,66.5,93.1,93.1,Unhealthy,Unhealthy
SNS-001,Roadside,2025-04-16,SNS-001,SNS-001,Roadside,Roadside,29.3,32.0,45.0,50.1,3.8,8.2,0.0,0.0,0.4,0.89,467.0,528.9,24.0,48.0,35.0,54.5,47.3,85.3,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-04-21,SNS-001,SNS-001,Roadside,Roadside,25.5,30.7,51.6,58.5,0.8,6.1,0.0,0.0,0.05,0.57,446.8,513.3,12.6,32.9,28.9,43.6,43.8,66.9,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-04-26,SNS-001,SNS-001,Roadside,Roadside,27.3,31.4,48.0,64.0,1.4,5.5,0.0,1.0,0.07,0.57,442.5,481.7,8.8,27.8,22.6,48.4,48.2,72.2,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-05-01,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2025-05-06,SNS-001,SNS-001,Roadside,Roadside,27.5,31.8,57.0,57.9,5.9,9.2,0.0,0.0,0.72,0.92,475.3,516.8,36.3,47.8,27.2,59.8,41.1,91.1,Moderate,Unhealthy
SNS-001,Roadside,2025-05-11,SNS-001,SNS-001,Roadside,Roadside,26.1,30.4,45.2,58.0,1.5,11.0,0.0,0.0,0.03,0.46,380.3,510.3,8.0,30.2,15.8,49.6,21.8,85.2,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-05-16,SNS-001,SNS-001,Roadside,Roadside,24.7,28.9,49.7,58.1,2.1,12.6,0.0,5.0,0.39,0.96,479.7,484.8,33.4,43.7,27.6,34.0,37.4,58.9,Moderate,Moderate
SNS-001,Roadside,2025-05-21,SNS-001,SNS-001,Roadside,Roadside,24.8,28.2,52.3,62.7,1.4,7.6,0.0,1.0,0.41,0.84,466.1,530.3,27.7,48.1,13.1,63.5,17.6,98.5,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-05-26,SNS-001,SNS-001,Roadside,Roadside,23.8,27.0,57.1,68.2,1.3,10.3,0.0,0.0,0.04,0.99,413.4,552.7,11.9,53.5,22.0,70.6,35.4,112.4,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-05-31,SNS-001,SNS-001,Roadside,Roadside,23.2,28.0,51.5,63.7,2.2,3.7,0.0,0.0,0.12,0.52,441.2,489.6,3.8,31.5,29.4,53.1,39.7,69.3,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-06-05,SNS-001,SNS-001,Roadside,Roadside,23.2,25.2,60.6,65.6,2.1,6.5,0.0,0.0,0.01,0.98,449.1,521.5,5.8,53.3,27.3,59.0,47.6,89.3,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-06-10,SNS-001,SNS-001,Roadside,Roadside,21.6,27.1,49.8,64.2,0.2,8.2,0.0,1.0,0.15,0.98,442.5,516.1,18.2,52.1,23.5,53.8,30.5,83.2,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-06-15,SNS-001,SNS-001,Roadside,Roadside,25.7,25.7,64.3,64.3,1.2,1.2,0.0,0.0,0.74,0.74,494.2,494.2,39.0,39.0,50.3,50.3,81.5,81.5,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-06-20,SNS-001,SNS-001,Roadside,Roadside,17.2,28.6,56.5,64.8,1.0,18.9,0.0,10.0,0.38,0.88,380.0,516.0,19.2,46.7,8.7,53.0,16.3,78.4,Good,Unhealthy for Sensitive
SNS-001,Roadside,2025-06-25,SNS-001,SNS-001,Roadside,Roadside,19.7,26.0,54.9,69.9,2.0,2.3,0.0,0.0,0.33,0.79,480.4,519.8,3.7,34.9,45.7,54.9,76.2,83.1,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-06-30,SNS-001,SNS-001,Roadside,Roadside,22.3,22.3,64.8,64.8,2.8,2.8,0.0,0.0,0.52,0.52,507.1,507.1,34.9,34.9,52.2,52.2,75.8,75.8,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-07-05,SNS-001,SNS-001,Roadside,Roadside,18.9,24.4,61.4,66.8,2.2,6.1,0.0,5.0,0.15,0.79,446.8,505.3,15.3,42.5,27.3,44.2,40.0,63.6,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-07-10,SNS-001,SNS-001,Roadside,Roadside,19.0,21.8,58.2,73.5,1.0,8.7,0.0,0.0,0.05,0.57,410.4,506.0,11.9,31.8,26.4,48.6,39.9,73.0,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-07-15,SNS-001,SNS-001,Roadside,Roadside,20.4,24.1,64.1,69.6,1.0,14.6,0.0,5.0,0.04,0.59,430.0,503.9,10.3,34.9,13.8,53.3,19.6,79.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-07-20,SNS-001,SNS-001,Roadside,Roadside,26.0,26.0,63.8,63.8,4.6,4.6,0.0,0.0,0.54,0.54,509.5,509.5,28.3,28.3,30.9,30.9,39.3,39.3,Moderate,Moderate
SNS-001,Roadside,2025-07-25,SNS-001,SNS-001,Roadside,Roadside,19.8,19.8,69.8,69.8,2.3,2.3,0.0,0.0,0.55,0.55,486.5,486.5,25.0,25.0,46.4,46.4,59.8,59.8,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-07-30,SNS-001,SNS-001,Roadside,Roadside,17.3,22.7,65.1,81.3,0.7,11.0,0.0,5.0,0.18,0.74,416.4,494.9,20.8,35.8,24.4,52.8,33.0,77.4,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-08-04,SNS-001,SNS-001,Roadside,Roadside,18.8,22.9,60.9,71.1,2.4,10.0,0.0,0.0,0.38,0.98,419.3,542.5,25.6,48.0,24.9,64.0,43.6,100.6,Moderate,Unhealthy
SNS-001,Roadside,2025-08-09,SNS-001,SNS-001,Roadside,Roadside,17.4,21.8,65.9,71.6,1.9,9.7,0.0,10.0,0.15,0.57,433.6,496.3,17.0,26.3,16.8,50.5,23.9,68.0,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-08-14,SNS-001,SNS-001,Roadside,Roadside,17.5,21.7,63.6,74.0,0.8,2.1,0.0,10.0,0.38,0.56,496.4,513.7,27.4,38.4,27.5,55.1,35.1,87.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-08-19,SNS-001,SNS-001,Roadside,Roadside,19.2,19.2,65.5,65.5,0.4,0.4,0.0,0.0,0.57,0.57,510.5,510.5,37.4,37.4,55.8,55.8,79.6,79.6,Unhealthy,Unhealthy
SNS-001,Roadside,2025-08-24,SNS-001,SNS-001,Roadside,Roadside,18.1,23.5,62.5,72.3,0.4,2.9,0.0,0.0,0.4,0.89,479.9,552.9,22.2,46.0,44.3,56.2,67.0,90.5,Unhealthy,Unhealthy for Sensitive
SNS-001,Roadside,2025-08-29,SNS-001,SNS-001,Roadside,Roadside,15.0,21.5,66.4,73.0,3.5,7.4,0.0,1.0,0.38,0.9,489.7,523.9,20.8,43.2,28.7,41.5,44.3,63.6,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-09-03,SNS-001,SNS-001,Roadside,Roadside,18.4,21.1,65.7,74.0,2.8,3.5,0.0,0.0,0.57,1.0,493.1,532.9,33.7,49.8,31.2,55.0,48.8,83.4,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-09-08,SNS-001,SNS-001,Roadside,Roadside,19.6,21.7,66.3,67.6,0.2,2.2,0.0,5.0,0.06,0.46,445.8,491.8,10.9,26.0,21.7,54.1,34.2,76.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-09-13,SNS-001,SNS-001,Roadside,Roadside,16.4,22.2,65.9,72.5,1.9,7.4,0.0,0.0,0.14,0.44,432.9,450.7,23.8,33.4,27.5,38.9,42.7,53.2,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-09-18,SNS-001,SNS-001,Roadside,Roadside,20.1,23.1,63.8,71.4,2.7,10.0,0.0,1.0,0.73,0.85,464.7,516.5,34.9,39.0,33.7,52.1,50.5,77.0,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-09-23,SNS-001,SNS-001,Roadside,Roadside,19.5,19.5,60.6,60.6,2.9,2.9,0.0,0.0,0.45,0.45,492.1,492.1,20.3,20.3,46.3,46.3,65.2,65.2,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-09-28,SNS-001,SNS-001,Roadside,Roadside,19.4,26.2,63.7,75.3,1.4,5.2,0.0,0.0,0.2,0.92,451.6,525.6,23.3,52.9,32.6,62.1,46.6,104.0,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-10-03,SNS-001,SNS-001,Roadside,Roadside,19.0,21.1,62.2,66.9,2.9,5.3,0.0,1.0,0.42,0.75,464.6,499.2,22.9,39.3,22.2,49.0,33.8,70.6,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-10-08,SNS-001,SNS-001,Roadside,Roadside,19.8,22.7,61.7,67.0,1.9,3.8,0.0,0.0,0.02,0.92,447.8,521.7,13.1,43.9,25.1,48.3,38.9,70.5,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-10-13,SNS-001,SNS-001,Roadside,Roadside,20.0,25.7,59.4,70.2,3.0,7.0,0.0,0.0,0.0,0.38,432.9,449.3,17.7,24.1,27.7,30.9,33.9,45.1,Moderate,Moderate
SNS-001,Roadside,2025-10-18,SNS-001,SNS-001,Roadside,Roadside,17.9,24.0,64.0,67.9,2.7,5.6,0.0,1.0,0.04,0.92,426.9,528.3,10.8,41.7,31.8,47.2,38.6,73.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-10-23,SNS-001,SNS-001,Roadside,Roadside,18.1,23.7,61.4,63.7,2.0,8.8,0.0,0.0,0.9,0.99,503.5,543.8,43.5,46.6,51.4,62.9,71.3,92.7,Unhealthy,Unhealthy for Sensitive
SNS-001,Roadside,2025-10-28,SNS-001,SNS-001,Roadside,Roadside,22.9,24.0,48.9,69.2,1.0,5.1,0.0,0.0,0.15,0.97,461.6,511.3,23.3,46.4,40.8,58.0,55.7,84.7,Unhealthy,Unhealthy for Sensitive
SNS-001,Roadside,2025-11-02,SNS-001,SNS-001,Roadside,Roadside,23.8,29.2,60.0,60.7,2.7,7.5,0.0,0.0,0.11,0.16,427.2,457.7,7.7,11.8,36.7,40.0,47.7,59.5,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2025-11-07,SNS-001,SNS-001,Roadside,Roadside,21.5,25.7,55.6,66.2,1.3,8.6,0.0,0.0,0.08,0.74,445.4,479.9,7.9,35.9,26.4,45.7,38.4,64.9,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-11-12,SNS-001,SNS-001,Roadside,Roadside,23.1,26.8,57.7,60.9,1.6,6.0,0.0,10.0,0.0,0.71,415.2,513.1,6.5,41.0,19.9,45.6,34.3,60.5,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-11-17,SNS-001,SNS-001,Roadside,Roadside,28.4,28.4,61.4,61.4,6.8,6.8,0.0,0.0,0.07,0.07,437.5,437.5,10.5,10.5,32.6,32.6,53.5,53.5,Moderate,Moderate
SNS-001,Roadside,2025-11-22,SNS-001,SNS-001,Roadside,Roadside,26.5,28.8,47.3,59.5,4.4,8.1,1.0,1.0,0.02,0.32,437.0,459.7,6.8,13.5,19.3,21.8,21.8,26.3,Moderate,Moderate
SNS-001,Roadside,2025-11-27,SNS-001,SNS-001,Roadside,Roadside,26.0,29.4,53.0,63.3,0.3,6.3,0.0,1.0,0.36,0.72,484.8,509.9,25.8,50.1,26.2,45.9,32.9,65.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-12-02,SNS-001,SNS-001,Roadside,Roadside,24.8,30.0,56.5,58.3,2.0,3.7,0.0,0.0,0.1,0.7,441.2,507.9,7.9,37.2,25.1,51.1,38.0,73.1,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-12-07,SNS-001,SNS-001,Roadside,Roadside,26.3,29.6,55.2,58.3,2.6,5.6,0.0,1.0,0.2,0.91,452.5,544.2,11.8,48.6,25.2,62.8,38.0,102.2,Moderate,Unhealthy
SNS-001,Roadside,2025-12-12,SNS-001,SNS-001,Roadside,Roadside,24.2,28.0,49.8,63.3,2.7,5.0,0.0,0.0,0.06,0.97,442.8,519.2,10.4,54.8,25.1,47.4,36.2,78.8,Moderate,Unhealthy for Sensitive
