Timestamp,Sensor_ID,Location_Type,Temperature_C,Humidity_Pct,Wind_Speed_kmh,Precipitation_mm,Traffic_Density_Score,CO2_ppm,NO2_ppb,PM2.5,PM10,AQI_Category
2025-01-01 00:00:00,SNS-002,Industrial,25.3,54.1,2.3,1,0.02,492.8,19.2,18.3,27.9,Moderate
2025-01-01 01:00:00,SNS-036,Industrial,25.6,64.3,4.0,0,0.1,473.5,20.5,37.6,59.3,Unhealthy for Sensitive
2025-01-01 02:00:00,SNS-041,Industrial,28.0,62.1,0.6,0,0.02,502.3,7.8,41.7,56.4,Unhealthy for Sensitive
2025-01-01 03:00:00,SNS-010,Roadside,26.6,55.0,3.4,0,0.19,462.0,19.3,34.4,48.7,Moderate
2025-01-01 04:00:00,SNS-041,Industrial,26.2,53.8,4.5,0,0.0,476.5,10.3,36.5,48.0,Unhealthy for Sensitive
2025-01-01 05:00:00,SNS-019,Industrial,30.8,57.1,10.8,0,0.47,493.0,30.9,30.1,46.6,Moderate
2025-01-01 06:00:00,SNS-005,Industrial,26.4,64.7,1.6,0,0.32,522.2,17.7,45.3,71.3,Unhealthy for Sensitive
2025-01-01 07:00:00,SNS-006,Industrial,26.8,66.8,1.3,0,0.87,593.4,52.1,63.3,87.7,Unhealthy
2025-01-01 08:00:00,SNS-002,Industrial,23.2,68.7,2.7,0,0.79,569.7,38.3,60.3,84.9,Unhealthy
2025-01-01 09:00:00,SNS-024,Park,22.4,57.1,4.1,0,0.95,479.3,57.9,25.4,31.4,Moderate
2025-01-01 10:00:00,SNS-036,Industrial,25.2,57.9,2.1,0,0.49,538.8,25.8,51.3,72.4,Unhealthy for Sensitive
2025-01-01 11:00:00,SNS-050,Industrial,23.5,55.7,3.2,0,0.33,516.2,19.3,41.3,53.7,Unhealthy for Sensitive
2025-01-01 12:00:00,SNS-002,Industrial,25.0,59.4,0.6,5,0.44,538.0,27.1,32.9,44.2,Moderate
2025-01-01 13:00:00,SNS-049,Industrial,22.9,54.6,5.5,0,0.42,519.0,24.7,48.0,71.0,Unhealthy for Sensitive
2025-01-01 14:00:00,SNS-030,Industrial,24.4,53.4,6.9,1,0.59,541.5,34.7,22.6,30.1,Moderate
2025-01-01 15:00:00,SNS-039,Park,21.7,54.2,0.9,0,0.57,441.8,33.3,20.2,34.6,Moderate
2025-01-01 16:00:00,SNS-044,Residential,24.7,65.0,3.2,0,0.98,485.1,44.3,38.5,55.8,Unhealthy for Sensitive
2025-01-01 17:00:00,SNS-024,Park,24.8,65.1,2.1,0,0.82,470.7,42.0,18.9,35.4,Moderate
2025-01-01 18:00:00,SNS-003,Park,28.2,54.5,8.0,0,0.86,442.1,54.8,15.6,28.3,Moderate
2025-01-01 19:00:00,SNS-001,Roadside,26.2,62.1,4.1,0,0.78,504.3,45.0,52.9,82.2,Unhealthy for Sensitive
2025-01-01 20:00:00,SNS-013,Roadside,27.7,61.5,1.0,0,0.58,509.2,30.6,49.0,73.3,Unhealthy for Sensitive
2025-01-01 21:00:00,SNS-041,Industrial,24.3,73.7,2.3,0,0.36,526.4,21.2,36.5,50.6,Unhealthy for Sensitive
2025-01-01 22:00:00,SNS-009,Park,27.7,58.6,4.1,0,0.59,431.4,38.4,22.7,37.1,Moderate
2025-01-01 23:00:00,SNS-021,Industrial,26.9,56.1,11.2,0,0.0,443.7,5.9,12.7,15.5,Moderate
2025-01-02 00:00:00,SNS-040,Residential,22.4,60.0,1.6,0,0.09,389.8,12.2,15.8,27.2,Moderate
2025-01-02 01:00:00,SNS-016,Roadside,22.9,67.5,0.7,0,0.18,470.9,17.9,38.3,53.0,Unhealthy for Sensitive
2025-01-02 02:00:00,SNS-048,Roadside,24.5,61.6,2.3,0,0.16,437.3,15.9,38.6,57.6,Unhealthy for Sensitive
2025-01-02 03:00:00,SNS-028,Residential,24.6,62.7,1.5,0,0.0,391.4,15.2,12.0,15.3,Moderate
2025-01-02 04:00:00,SNS-038,Roadside,27.9,60.6,3.6,0,0.11,440.1,16.4,35.7,57.6,Unhealthy for Sensitive
2025-01-02 05:00:00,SNS-047,Park,25.3,57.6,1.9,0,0.53,446.3,31.3,9.0,14.5,Good
2025-01-02 06:00:00,SNS-037,Residential,24.9,54.5,2.0,0,0.56,450.0,27.5,29.7,42.4,Moderate
2025-01-02 07:00:00,SNS-045,Residential,28.8,52.8,2.2,0,0.83,467.7,42.9,30.7,39.9,Moderate
2025-01-02 08:00:00,SNS-018,Residential,25.2,57.4,7.1,0,0.98,465.6,51.6,39.1,71.7,Unhealthy for Sensitive
2025-01-02 09:00:00,SNS-010,Roadside,27.6,69.3,2.4,0,0.76,509.1,36.2,54.3,75.0,Unhealthy for Sensitive
2025-01-02 10:00:00,SNS-033,Roadside,27.8,59.7,8.3,0,0.45,460.5,28.4,33.0,46.5,Moderate
2025-01-02 11:00:00,SNS-022,Roadside,23.8,52.5,2.8,0,0.4,471.7,25.3,35.0,54.6,Moderate
2025-01-02 12:00:00,SNS-048,Roadside,24.9,56.5,10.9,0,0.54,457.3,23.6,33.1,43.0,Moderate
2025-01-02 13:00:00,SNS-042,Residential,26.1,59.6,1.9,0,0.47,457.4,31.9,35.1,47.0,Unhealthy for Sensitive
2025-01-02 14:00:00,SNS-036,Industrial,22.0,62.0,2.3,0,0.44,510.1,33.6,50.5,73.3,Unhealthy for Sensitive
2025-01-02 15:00:00,SNS-020,Roadside,26.1,70.4,1.6,0,0.6,499.1,36.0,42.8,68.8,Unhealthy for Sensitive
2025-01-02 16:00:00,SNS-023,Roadside,27.5,54.4,2.6,0,0.91,526.9,51.9,60.8,100.1,Unhealthy
2025-01-02 17:00:00,SNS-027,Residential,25.7,61.7,4.5,0,0.94,462.3,40.4,38.8,65.7,Unhealthy for Sensitive
2025-01-02 18:00:00,SNS-006,Industrial,26.0,61.1,4.3,0,0.85,551.4,49.2,52.7,81.6,Unhealthy for Sensitive
2025-01-02 19:00:00,SNS-013,Roadside,24.4,59.4,8.7,0,0.85,492.4,51.0,39.6,59.5,Unhealthy for Sensitive
2025-01-02 20:00:00,SNS-033,Roadside,26.7,59.8,3.8,0,0.49,482.6,23.2,41.9,68.6,Unhealthy for Sensitive
2025-01-02 21:00:00,SNS-028,Residential,26.2,58.6,1.3,0,0.31,419.9,26.4,33.1,47.9,Moderate
2025-01-02 22:00:00,SNS-002,Industrial,27.1,57.1,5.8,0,0.34,503.1,30.0,33.0,49.3,Moderate
2025-01-02 23:00:00,SNS-045,Residential,24.6,56.8,4.6,0,0.05,389.1,17.5,7.5,6.2,Good
2025-01-03 00:00:00,SNS-012,Park,25.4,53.4,2.2,0,0.16,424.5,22.4,4.0,5.0,Good
2025-01-03 01:00:00,SNS-012,Park,22.7,61.5,0.3,0,0.11,393.9,19.2,3.8,5.0,Good
2025-01-03 02:00:00,SNS-030,Industrial,28.5,58.5,3.2,0,0.12,506.1,10.0,34.2,46.5,Moderate
2025-01-03 03:00:00,SNS-032,Roadside,21.0,58.2,2.1,1,0.19,457.2,20.8,19.8,20.3,Moderate
2025-01-03 04:00:00,SNS-050,Industrial,26.5,59.1,10.4,0,0.15,461.1,16.7,26.9,48.1,Moderate
2025-01-03 05:00:00,SNS-042,Residential,25.2,60.1,4.0,0,0.31,439.9,23.4,14.9,14.9,Moderate
2025-01-03 06:00:00,SNS-034,Residential,25.7,57.3,11.2,1,0.34,380.0,28.6,6.4,13.2,Good
2025-01-03 07:00:00,SNS-013,Roadside,24.2,65.0,3.4,0,0.81,508.8,50.6,49.2,79.2,Unhealthy for Sensitive
2025-01-03 08:00:00,SNS-014,Roadside,23.9,59.1,10.2,0,0.8,473.2,42.9,29.6,45.8,Moderate
2025-01-03 09:00:00,SNS-013,Roadside,22.1,54.6,9.2,0,0.7,473.2,32.4,31.4,53.6,Moderate
2025-01-03 10:00:00,SNS-036,Industrial,24.5,57.4,0.5,0,0.53,551.0,27.4,63.1,94.9,Unhealthy
2025-01-03 11:00:00,SNS-025,Industrial,23.7,66.2,7.9,0,0.42,500.6,29.7,34.6,57.7,Moderate
2025-01-03 12:00:00,SNS-041,Industrial,26.1,69.0,14.9,0,0.37,470.7,30.1,14.1,23.1,Moderate
2025-01-03 13:00:00,SNS-010,Roadside,23.9,65.3,3.5,0,0.43,487.1,30.4,40.0,56.6,Unhealthy for Sensitive
2025-01-03 14:00:00,SNS-041,Industrial,26.4,56.3,1.2,0,0.44,526.8,27.5,49.3,73.5,Unhealthy for Sensitive
2025-01-03 15:00:00,SNS-012,Park,21.9,56.2,18.4,0,0.48,380.0,28.6,2.0,5.0,Good
2025-01-03 16:00:00,SNS-001,Roadside,24.5,61.0,2.5,0,0.96,535.6,47.3,60.0,89.2,Unhealthy
2025-01-03 17:00:00,SNS-024,Park,26.6,57.2,1.7,0,0.8,471.4,46.2,14.5,20.5,Moderate
2025-01-03 18:00:00,SNS-012,Park,25.6,61.1,1.8,0,0.99,489.1,45.1,23.1,34.2,Moderate
2025-01-03 19:00:00,SNS-036,Industrial,22.4,54.9,2.2,1,0.85,586.2,38.0,32.9,51.7,Moderate
2025-01-03 20:00:00,SNS-049,Industrial,24.3,58.3,4.7,0,0.58,533.7,26.5,38.3,60.2,Unhealthy for Sensitive
2025-01-03 21:00:00,SNS-039,Park,25.0,69.5,3.7,0,0.56,434.0,35.2,9.2,9.3,Good
2025-01-03 22:00:00,SNS-049,Industrial,28.1,61.1,4.2,0,0.36,519.8,16.6,34.3,57.3,Moderate
2025-01-03 23:00:00,SNS-003,Park,26.3,61.9,8.5,5,0.14,380.0,12.6,2.0,6.4,Good
2025-01-04 00:00:00,SNS-043,Industrial,25.6,61.1,2.5,0,0.08,472.5,14.8,33.5,48.2,Moderate
2025-01-04 01:00:00,SNS-020,Roadside,22.3,55.0,1.6,0,0.05,451.3,7.5,31.0,46.5,Moderate
2025-01-04 02:00:00,SNS-019,Industrial,25.2,58.4,3.6,0,0.15,511.5,22.4,36.0,55.5,Unhealthy for Sensitive
2025-01-04 03:00:00,SNS-041,Industrial,24.6,62.7,10.3,0,0.0,444.1,6.7,22.9,40.0,Moderate
2025-01-04 04:00:00,SNS-028,Residential,27.2,61.9,1.6,0,0.12,415.8,16.9,17.9,25.7,Moderate
